,Occupation Title,SOC Code,Typical entry-level education,2017_median_income,2016_median_income,2015_median_income,2014_median_income,2013_median_income,2012_median_income,2011_median_income,2010_median_income,2009_median_income,2008_median_income,2007_median_income
64,"Fine artists, including painters, sculptors, and illustrators    * Book Illustrator* Caricature Artist* Comic Artist* Comic Book Artist* Comic Illustrator* Commercial Artist* Concrete Sculptor* Editorial Cartoonist* Fashion Illustrator* Free Lance Artist* Fresco Artist* Glass Artist* Ice Sculptor* Medical Illustrator* Mural Painter* Muralist* Non-Representational Metal Sculptor* Oil Painter* Pattern Illustrator* Political Cartoonist* Portrait Artist* Portrait Painter* Scientific Illustrator* Sketch Artist* Sports Cartoonist* Stained Glass Artist* Water Colorist* Watercolor Artist",27-1013,Bachelor's degree,49520,50790,46460,43890,42610,44850,44600,44850,         44160,         42650,         42070
65,Fish and game wardens    * Conservation Enforcement Officer* Fish Warden* Fish and Game Warden* Fish and Wildlife Warden* Game Warden* Wildlife Control Agent* Wildlife Officer* Wildlife and Game Protector,33-3031,Bachelor's degree,56410,51730,52780,50880,48760,48070,50070,49730,         48800,         48930,         47830
66,Food scientists and technologists    * Dairy Bacteriologist* Enologist* Food Preservation Scientist* Food Processing Scientist* Food Safety Scientist* Food Scientist* Food Technologist,19-1012,Bachelor's degree,63660,63950,65840,61480,59630,58070,58340,60180,         59630,         59520,         57870
67,Forensic science technicians    * Ballistic Technician* Ballistician* Ballistics Expert* Crime Lab Technician* Crime Scene Technician* Criminalist Technician* Fingerprint Expert* Forensic Analyst* Forensic Science Technician* Handwriting Expert* Trace Evidence Technician* Wildlife Forensic Geneticist,19-4092,Bachelor's degree,57850,56750,56320,55360,54360,52840,52180,51570,         51480,         49860,         47680
68,Foresters    * Environmental Protection Forester* Forest Ecologist* Forestry Scientist* Land Management Forester* Operations Forester* Resource Forester* Service Forester* Timber Management Specialist* Urban Forester,19-1032,Bachelor's degree,60120,58700,58230,57980,57110,55950,55190,54540,         53840,         53750,         52440
69,General and operations managers    * Department Store General Manager* General Manager* General Superintendent* Manufacturing Operations Manager* Operations Manager* Radio Station Manager* Television Station Manager,11-1021,Bachelor's degree,100410,99310,97730,97270,96430,95440,95150,94400,         92650,         91570,         88700
70,Geographers    * Biogeographer* Economic Geographer* GIS Geographer* Geographer* Geomorphologist* Glaciologist* Physical Geographer* Political Geographer,19-3092,Bachelor's degree,76860,74260,74260,76420,74750,74760,74760,72800,         71470,         66600,         65690
71,"Geoscientists, except hydrologists and geographers    * Crystallographer* Development Geologist* Environmental Geologist* Exploration Geologist* Geochemist* Geodesist* Geologist* Geomagnetist* Geophysicist* Geoscientist* Mine Geologist* Mineralogist* Mining Production Geologist* Oceanographer* Oceanologist* Paleontologist* Petroleum Geologist* Petrologist* Research Geologist* Sedimentationist* Seismologist* Stratigrapher* Volcanologist",19-2042,Bachelor's degree,89850,89780,89700,89910,91920,90890,84470,82500,         81220,         79160,         75800
72,Graduate teaching assistants    * Graduate Student Instructor* Teaching Fellow,25-1191,Bachelor's degree,32460,34240,30810,31570,29950,31270,31230,32750,         31540,         29850,         28060
73,Graphic designers    * Catalogue Illustrator* Graphic Artist* Graphic Designer* Visual Designer,27-1024,Bachelor's degree,48700,47640,46900,45900,44830,44150,44010,43500,         43180,         42400,         41280
74,"Health and safety engineers, except mining safety engineers and inspectors    * Fire Prevention Engineer* Fire Protection Engineer* Industrial Safety Engineer* Product Safety Engineer* Product Safety Test Engineer* System Safety Engineer",17-2111,Bachelor's degree,88510,86720,84600,81830,78820,76830,75470,75430,         74080,         72490,         69580
75,Health educators    * Certified Diabetes Educator* Certified Health Education Specialist* Community Health Education Coordinator* Diabetes Educator* Health Education Specialist* Health Educator* Public Health Educator,21-1091,Bachelor's degree,53940,53070,51960,50430,49210,48790,47940,45830,         44340,         44000,         42920
76,Hydrologists    * Hydrogeologist* Hydrologist* Isotope Hydrologist* Surface Hydrologist,19-2043,Bachelor's degree,79990,80480,79550,78370,75710,75530,75680,75690,         73670,         71450,         68140
77,Industrial engineers    * Efficiency Engineer* Manufacturing Engineer* Packaging Engineer* Production Engineer,17-2112,Bachelor's degree,85880,84310,83470,81490,80300,78860,77240,76100,         75110,         73820,         71430
78,Industrial production managers    * Industrial Production Manager* Manufacturing Director* Plant Chief* Plant Manager* Plant Superintendent* Production Control Manager,11-3051,Bachelor's degree,100580,97140,93940,92470,90790,89190,88190,87160,         85080,         83290,         80560
79,Insurance underwriters    * Automobile and Property Underwriter* Bond Underwriter* Insurance Analyst* Insurance Underwriter* Insurance Writer* Underwriting Account Representative* Underwriting Service Representative,13-2053,Bachelor's degree,69760,67680,65040,64220,63780,62870,60830,59290,         57820,         56790,         54530
80,Interior designers    * Certified Kitchen Designer* Furniture Arranger* Home Lighting Adviser* Interior Decorator* Interior Designer* Kitchen Designer* Kitchen and Bath Designer,27-1025,Bachelor's degree,51500,49810,48840,48400,48500,47600,47620,46280,         46180,         44950,         43970
